essay_id,assignment_prompt,essay_genre,student_level,essay_text_anonymized,word_count,draft_stage,pii_removed
ESL-ANN-001,Write an opinion essay about whether universities should keep online learning after the pandemic.,opinion essay,upper-intermediate,"Online learning gives students more freedom because they can review lectures at home and save time from traveling. However, some students lose attention when the class is only online, and they have fewer chances to discuss ideas face to face. I think universities should keep online learning, but teachers must make it more interactive. For example, teachers can use short quizzes and group discussion to help students stay active. In this way, online learning can become a useful choice instead of a weak replacement for classroom study.",91,first_draft,True
ESL-ANN-002,Write an argumentative paragraph about the influence of social media on teenagers.,argumentative paragraph,intermediate,"Social media helps teenagers communicate with friends and learn about the world. It can also make students compare their lives with others too much. Some young people spend many hours online and lose focus on study. Schools should teach students how to use it carefully instead of only saying it is bad. If teenagers learn to control their time, social media can be a helpful tool.",69,first_draft,True
ESL-ANN-003,Write a problem-solution essay about environmental protection in cities.,problem-solution essay,upper-intermediate,"Many cities face air pollution, plastic waste, and traffic problems. The government should improve public transport and encourage recycling, but citizens also need to change small habits. For example, people can bring reusable bags and use fewer private cars. These actions may look small, but they can reduce waste and make the city cleaner. Environmental protection needs cooperation between public policy and daily life.",66,revision_draft,True
ESL-ANN-004,Write an argumentative essay about whether exams are a fair way to evaluate students.,argumentative essay,intermediate,"Exams can show what students remember, but they cannot show every ability. Some students understand the course but feel nervous in a timed test, so their score becomes lower than their real level. I think schools should keep exams, but teachers should also use projects and class participation. This way, students mental health can be protected and evaluation can be more fair.",67,first_draft,True
ESL-ANN-005,Write a short comparative literature paragraph comparing two characters from novels you have studied.,comparative literature paragraph,upper-intermediate,"The two novels both show young characters who want independence. The first protagonist is more brave because she decides to leave a safe home, while the second protagonist waits for other people to solve his problems. However, both characters learn that freedom also brings responsibility. This comparison helps readers understand how different writers describe growing up.",59,revision_draft,True
ESL-ANN-006,Write an opinion paragraph about the role of AI tools in student learning.,opinion paragraph,intermediate,"AI tools can help students find examples and correct simple grammar mistakes. At the same time, students may depend on AI too much and stop thinking by themselves. In my opinion, schools should teach students how to use AI as a helper, not as a writer. If students check the AI answer carefully, it can support learning without replacing their own ideas.",65,first_draft,True
ESL-ANN-007,Write a comparative literature paragraph comparing two characters and their moral choices.,comparative literature paragraph,upper-intermediate,"In the two stories, both main characters face a difficult moral choice, but they respond in different ways. Character A decides to protect his family even when this choice makes him dishonest. Character B tells the truth although it causes personal loss. I think the second character is more admirable because the author shows that honesty can be painful but still necessary. The comparison suggests that moral courage is not only about winning, but also about accepting consequences.",79,first_draft,True
ESL-ANN-008,Write a short comparative essay about symbolism in two poems.,comparative literature essay,advanced,"Both poems use natural images to describe loneliness, but their emotional effects are not the same. In the first poem, the winter tree suggests silence and isolation. In the second poem, the river suggests movement and the possibility of change. The speakers are lonely, but one seems trapped while the other still hopes for a future. Therefore, the symbols help readers understand two different attitudes toward solitude.",70,revision_draft,True
ESL-ANN-009,Write an argumentative paragraph on whether AI feedback should be used in English writing classes.,argumentative paragraph,intermediate,"AI feedback can help students revise their writing quickly, especially when teachers are busy. It can find grammar mistakes and suggest clearer words. However, students should not trust every suggestion because AI may misunderstand their meaning. In my opinion, AI feedback is useful when students use it as a helper, not as the final judge. Teachers still need to explain important problems and protect students from wrong advice.",72,first_draft,True
ESL-ANN-010,Write a cause-and-effect paragraph about why students experience academic stress.,cause-and-effect paragraph,intermediate,"Many students feel academic stress because they have many assignments and exams in a short time. Some students also compare themselves with classmates and worry that they are not good enough. This pressure can make them sleep badly and lose interest in learning. Schools should teach students how to manage time and ask for help. Parents also need to care about health, not only grades.",67,first_draft,True
ESL-ANN-011,Write a comparison paragraph about printed books and e-books.,comparison paragraph,intermediate,"Printed books and e-books both help people read, but they give different experiences. Printed books are comfortable for long reading because readers can write notes and feel the pages. E-books are convenient because many books can be stored on one device. For students, e-books are useful when they need to search information quickly. Still, printed books may help some readers concentrate better.",65,first_draft,True
ESL-ANN-012,Write a short literary response about how setting shapes a character.,literary response,upper-intermediate,"The setting shapes the character because the cold village makes her feel isolated from other people. At the beginning, she wants to leave and believes the village limits her future. Later, she starts to understand that the place also gives her memories and responsibility. The setting is not just background. It creates conflict inside the character and helps readers see why her final decision is difficult.",70,revision_draft,True
