id,expert_id,batch_id,item_type,item_id,action,details,created_at,updated_at,duration_seconds
38,1,2,feedback_likert,FB-030,save_likert_feedback_rating,"{""correctness_score"": 1, ""meaning_preservation_score"": 1, ""student_readiness_score"": 1, ""usefulness_score"": 1, ""clarity_score"": 1, ""direct_release_score"": 1}",2026-06-13T13:49:35,2026-06-13T13:49:35,28.34460425376892
37,1,2,feedback_likert,FB-029,save_likert_feedback_rating,"{""correctness_score"": 4, ""meaning_preservation_score"": 3, ""student_readiness_score"": 4, ""usefulness_score"": 3, ""clarity_score"": 4, ""direct_release_score"": 3}",2026-06-13T13:49:07,2026-06-13T13:49:07,33.212767601013184
36,1,2,feedback_likert,FB-028,save_likert_feedback_rating,"{""correctness_score"": 1, ""meaning_preservation_score"": 1, ""student_readiness_score"": 1, ""usefulness_score"": 1, ""clarity_score"": 1, ""direct_release_score"": 1}",2026-06-13T13:48:34,2026-06-13T13:48:34,26.50348401069641
35,1,2,feedback_likert,FB-027,save_likert_feedback_rating,"{""correctness_score"": 5, ""meaning_preservation_score"": 5, ""student_readiness_score"": 5, ""usefulness_score"": 4, ""clarity_score"": 5, ""direct_release_score"": 4}",2026-06-13T13:48:07,2026-06-13T13:48:07,28.52743101119995
34,1,2,feedback_likert,FB-026,save_likert_feedback_rating,"{""correctness_score"": 4, ""meaning_preservation_score"": 4, ""student_readiness_score"": 4, ""usefulness_score"": 4, ""clarity_score"": 4, ""direct_release_score"": 4}",2026-06-13T13:47:38,2026-06-13T13:47:38,30.39094829559326
33,1,2,feedback_likert,FB-025,save_likert_feedback_rating,"{""correctness_score"": 3, ""meaning_preservation_score"": 3, ""student_readiness_score"": 3, ""usefulness_score"": 3, ""clarity_score"": 4, ""direct_release_score"": 3}",2026-06-13T13:47:08,2026-06-13T13:47:08,38.371920347213745
32,1,2,feedback_likert,FB-024,save_likert_feedback_rating,"{""correctness_score"": 1, ""meaning_preservation_score"": 1, ""student_readiness_score"": 1, ""usefulness_score"": 1, ""clarity_score"": 1, ""direct_release_score"": 1}",2026-06-13T13:46:29,2026-06-13T13:46:29,25.327434539794922
31,1,2,feedback_likert,FB-023,save_likert_feedback_rating,"{""correctness_score"": 1, ""meaning_preservation_score"": 1, ""student_readiness_score"": 1, ""usefulness_score"": 1, ""clarity_score"": 1, ""direct_release_score"": 1}",2026-06-13T13:46:04,2026-06-13T13:46:04,27.792412996292114
30,1,2,feedback_likert,FB-022,save_likert_feedback_rating,"{""correctness_score"": 5, ""meaning_preservation_score"": 5, ""student_readiness_score"": 5, ""usefulness_score"": 5, ""clarity_score"": 5, ""direct_release_score"": 5}",2026-06-13T13:45:36,2026-06-13T13:45:36,28.2310528755188
29,1,2,feedback_likert,FB-021,save_likert_feedback_rating,"{""correctness_score"": 5, ""meaning_preservation_score"": 5, ""student_readiness_score"": 5, ""usefulness_score"": 4, ""clarity_score"": 5, ""direct_release_score"": 4}",2026-06-13T13:45:08,2026-06-13T13:45:08,23.74801254272461
28,1,2,feedback_likert,FB-020,save_likert_feedback_rating,"{""correctness_score"": 5, ""meaning_preservation_score"": 5, ""student_readiness_score"": 5, ""usefulness_score"": 5, ""clarity_score"": 5, ""direct_release_score"": 5}",2026-06-13T13:44:44,2026-06-13T13:44:44,29.16170907020569
27,1,2,feedback_likert,FB-019,save_likert_feedback_rating,"{""correctness_score"": 1, ""meaning_preservation_score"": 1, ""student_readiness_score"": 1, ""usefulness_score"": 1, ""clarity_score"": 1, ""direct_release_score"": 1}",2026-06-13T13:44:14,2026-06-13T13:44:14,24.43423581123352
26,1,2,feedback_likert,FB-018,save_likert_feedback_rating,"{""correctness_score"": 1, ""meaning_preservation_score"": 1, ""student_readiness_score"": 1, ""usefulness_score"": 1, ""clarity_score"": 1, ""direct_release_score"": 1}",2026-06-13T13:43:50,2026-06-13T13:43:50,34.17056083679199
25,1,2,feedback_likert,FB-017,save_likert_feedback_rating,"{""correctness_score"": 4, ""meaning_preservation_score"": 5, ""student_readiness_score"": 5, ""usefulness_score"": 5, ""clarity_score"": 4, ""direct_release_score"": 4}",2026-06-13T13:43:16,2026-06-13T13:43:16,34.07902503013611
24,1,2,feedback_likert,FB-016,save_likert_feedback_rating,"{""correctness_score"": 1, ""meaning_preservation_score"": 1, ""student_readiness_score"": 1, ""usefulness_score"": 1, ""clarity_score"": 1, ""direct_release_score"": 1}",2026-06-13T13:42:41,2026-06-13T13:42:41,28.797963619232178
23,1,2,feedback_likert,FB-015,save_likert_feedback_rating,"{""correctness_score"": 5, ""meaning_preservation_score"": 5, ""student_readiness_score"": 5, ""usefulness_score"": 5, ""clarity_score"": 5, ""direct_release_score"": 5}",2026-06-13T13:42:12,2026-06-13T13:42:12,22.212621212005615
22,1,2,feedback_likert,FB-014,save_likert_feedback_rating,"{""correctness_score"": 3, ""meaning_preservation_score"": 2, ""student_readiness_score"": 2, ""usefulness_score"": 3, ""clarity_score"": 3, ""direct_release_score"": 2}",2026-06-13T13:41:50,2026-06-13T13:41:50,32.510560750961304
21,1,2,feedback_likert,FB-013,save_likert_feedback_rating,"{""correctness_score"": 5, ""meaning_preservation_score"": 5, ""student_readiness_score"": 5, ""usefulness_score"": 5, ""clarity_score"": 5, ""direct_release_score"": 5}",2026-06-13T13:41:17,2026-06-13T13:41:17,21.447502851486206
20,1,2,session,1__2__blind,select_session,"{""mode"": ""Blind Annotation Mode""}",2026-06-13T13:40:52,2026-06-13T13:40:52,0.0
1,1,2,session,1__2__blind,select_session,"{""mode"": ""Blind Annotation Mode""}",2026-06-13T13:28:16,2026-06-13T13:28:16,0.0
