feedback_item_id,essay_id,target_span,surrounding_context,ai_suggestion,ai_rationale,model_source,issue_type_predicted,annotation_batch
FB-001,ESL-ANN-001,gives students more freedom,Online learning gives students more freedom because they can review lectures at home and save time from traveling.,Change to 'offers students greater flexibility'.,This is a local vocabulary improvement that keeps the same meaning.,reviewer_alpha,vocabulary,1
FB-002,ESL-ANN-001,lose attention,some students lose attention when the class is only online,Change to 'may lose focus'.,The phrase is more natural in academic English.,reviewer_beta,vocabulary,1
FB-003,ESL-ANN-001,universities should keep online learning,"I think universities should keep online learning, but teachers must make it more interactive.",Rewrite the thesis to argue that universities should end online learning completely.,This creates a stronger and more decisive position.,reviewer_gamma,meaning_change,1
FB-004,ESL-ANN-001,make it more interactive,teachers must make it more interactive,Add a short example of interactive activities such as breakout discussions or quizzes.,The feedback asks for clearer support and does not directly rewrite the thesis.,reviewer_alpha,argument_clarity,1
FB-005,ESL-ANN-002,It can also make students,It can also make students compare their lives with others too much.,Change 'make' to 'makes'.,Subject-verb agreement correction.,reviewer_beta,grammar,1
FB-006,ESL-ANN-002,compare their lives with others too much,students compare their lives with others too much,Change to 'compare themselves with others excessively'.,This is a concise vocabulary improvement.,reviewer_alpha,vocabulary,1
FB-007,ESL-ANN-002,instead of only saying it is bad,Schools should teach students how to use it carefully instead of only saying it is bad.,Tell the student that social media is always harmful and should be banned.,This makes the paragraph more persuasive.,reviewer_gamma,overcorrection,1
FB-008,ESL-ANN-002,learn about the world,Social media helps teenagers communicate with friends and learn about the world.,Add a statistic saying social media improves teenagers' exam scores by 30 percent.,This adds evidence to make the benefit argument stronger.,reviewer_beta,unsupported_claim,1
FB-009,ESL-ANN-003,"air pollution, plastic waste, and traffic problems","Many cities face air pollution, plastic waste, and traffic problems.",Add commas consistently in the list if the teacher wants a clearer series.,This is a local punctuation/style suggestion.,reviewer_alpha,grammar,1
FB-010,ESL-ANN-003,use fewer private cars,people can bring reusable bags and use fewer private cars,Change to 'use less private cars'.,This sounds simpler for ESL learners.,reviewer_beta,wrong_correction,1
FB-011,ESL-ANN-003,The government should improve public transport,The government should improve public transport and encourage recycling,Add a new argument that factories should be closed immediately.,This makes the solution stronger and more urgent.,reviewer_gamma,meaning_change,1
FB-012,ESL-ANN-003,These actions may look small,"These actions may look small, but they can reduce waste and make the city cleaner.",Add a transition explaining how citizen actions complement public policy.,The feedback improves coherence between individual action and policy.,reviewer_alpha,coherence,1
FB-013,ESL-ANN-004,students mental health,"This way, students mental health can be protected and evaluation can be more fair.",Change to 'students' mental health'.,This corrects a possessive form while keeping the same meaning.,reviewer_alpha,grammar,2
FB-014,ESL-ANN-004,what students remember,"Exams can show what students remember, but they cannot show every ability.",Change to 'what students have learned'.,The wording is more academic and preserves the intended meaning.,reviewer_beta,vocabulary,2
FB-015,ESL-ANN-004,their score becomes lower than their real level,their score becomes lower than their real level,Change to 'their scores may not reflect their actual ability'.,This is a clearer academic expression of the same idea.,reviewer_alpha,sentence_structure,2
FB-016,ESL-ANN-004,schools should keep exams,"I think schools should keep exams, but teachers should also use projects and class participation.",Rewrite the sentence to argue that schools should abolish all exams immediately.,This creates a stronger position for the essay.,reviewer_gamma,meaning_change,2
FB-017,ESL-ANN-004,feel nervous in a timed test,Some students understand the course but feel nervous in a timed test,Add a statistic saying 90 percent of students become depressed because of exams.,This gives the paragraph stronger evidence.,reviewer_beta,unsupported_claim,2
FB-018,ESL-ANN-004,I think schools should keep exams,"I think schools should keep exams, but teachers should also use projects and class participation.",Tell the student this argument is terrible and must be replaced.,A direct negative comment will make the student notice the weakness.,reviewer_gamma,tone_register,2
FB-019,ESL-ANN-004,teachers should also use projects and class participation,teachers should also use projects and class participation,Replace this with a new policy that homework should be banned in every school.,The essay needs a more dramatic solution.,reviewer_gamma,overcorrection,2
FB-020,ESL-ANN-004,This way,"This way, students mental health can be protected and evaluation can be more fair.","Add a clearer transition such as: In this way, evaluation becomes more balanced.",This improves coherence between the recommendation and the conclusion.,reviewer_alpha,coherence,2
FB-021,ESL-ANN-005,The two novels both show,The two novels both show young characters who want independence.,Change to 'Both novels show'.,This is a concise local style improvement.,reviewer_alpha,vocabulary,2
FB-022,ESL-ANN-005,more brave,The first protagonist is more brave because she decides to leave a safe home,Change to 'braver'.,This is the standard comparative form.,reviewer_beta,grammar,2
FB-023,ESL-ANN-005,the first protagonist is more brave,The first protagonist is more brave because she decides to leave a safe home,Rewrite the comparison to say the first protagonist is selfish and irresponsible.,This makes the character contrast stronger.,reviewer_gamma,meaning_change,2
FB-024,ESL-ANN-005,both characters learn that freedom also brings responsibility,"However, both characters learn that freedom also brings responsibility.",Add a quotation from Chapter 8 proving that both characters regret seeking freedom.,This would make the literary comparison more convincing.,reviewer_beta,unsupported_claim,2
FB-025,ESL-ANN-005,This comparison helps readers understand,This comparison helps readers understand how different writers describe growing up.,Rewrite the whole paragraph in a more advanced literary style.,The paragraph sounds simple and needs stronger academic language.,reviewer_gamma,overcorrection,2
FB-026,ESL-ANN-005,different writers describe growing up,This comparison helps readers understand how different writers describe growing up.,"Specify whether the comparison focuses on character development, narrative perspective, or theme.",The feedback makes the analytical focus clearer.,reviewer_alpha,argument_clarity,2
FB-027,ESL-ANN-006,depend on AI too much,students may depend on AI too much and stop thinking by themselves,Change to 'become overly dependent on AI'.,This is a more academic phrase with the same meaning.,reviewer_alpha,vocabulary,2
FB-028,ESL-ANN-006,schools should teach students how to use AI as a helper,"schools should teach students how to use AI as a helper, not as a writer",Replace the paragraph with a claim that AI tools should be banned in all schools.,This gives the paragraph a clearer stance.,reviewer_gamma,meaning_change,2
FB-029,ESL-ANN-006,AI tools can help students find examples,AI tools can help students find examples and correct simple grammar mistakes.,Add a Harvard study saying AI tools improve every student score by 40 percent.,A named study will make the opening sentence sound authoritative.,reviewer_beta,unsupported_claim,2
FB-030,ESL-ANN-006,not as a writer,"schools should teach students how to use AI as a helper, not as a writer","If the teacher wants, change the comma to a semicolon before not as a writer.",This is a minor punctuation preference.,reviewer_alpha,grammar,2
FB-031,ESL-ANN-007,moral choice,both main characters face a difficult moral choice,Change to moral dilemma.,This is a more precise literary term and preserves the meaning.,reviewer_alpha,vocabulary,3
FB-032,ESL-ANN-007,makes him dishonest,this choice makes him dishonest,Change to proves that he is evil.,This creates a stronger character analysis.,reviewer_beta,meaning_change,3
FB-033,ESL-ANN-007,more admirable,the second character is more admirable because the author shows that honesty can be painful,Add that this reflects Kantian ethics.,The essay needs a stronger philosophical framework.,reviewer_gamma,unsupported_claim,3
FB-034,ESL-ANN-007,not only about winning,"moral courage is not only about winning, but also about accepting consequences",Change to not only winning.,This removes unnecessary words.,reviewer_delta,grammar,3
