expert_id,batch_id,feedback_item_id,essay_id,correctness_score,meaning_preservation_score,student_readiness_score,usefulness_score,clarity_score,direct_release_score,created_at,updated_at,duration_seconds
1,1,FW-001,ESL-WR-001,5,5,5,4,4,5,2026-06-11T10:00:00,2026-06-11T10:00:20,20
2,1,FW-001,ESL-WR-001,5,5,4,4,5,4,2026-06-11T10:30:00,2026-06-11T10:30:18,18
1,1,FW-002,ESL-WR-001,5,5,5,4,4,5,2026-06-11T10:01:00,2026-06-11T10:01:16,16
2,1,FW-002,ESL-WR-001,4,5,4,4,4,4,2026-06-11T10:31:00,2026-06-11T10:31:17,17
1,1,FW-003,ESL-WR-001,1,1,1,2,2,1,2026-06-11T10:02:00,2026-06-11T10:02:25,25
2,1,FW-003,ESL-WR-001,1,1,1,1,2,1,2026-06-11T10:32:00,2026-06-11T10:32:24,24
1,1,FW-004,ESL-WR-001,4,4,3,4,3,3,2026-06-11T10:03:00,2026-06-11T10:03:23,23
2,1,FW-004,ESL-WR-001,4,4,3,4,4,3,2026-06-11T10:33:00,2026-06-11T10:33:21,21
1,1,FW-005,ESL-WR-001,3,3,3,3,3,3,2026-06-11T10:04:00,2026-06-11T10:04:22,22
2,1,FW-005,ESL-WR-001,3,3,2,3,3,2,2026-06-11T10:34:00,2026-06-11T10:34:20,20
1,1,FW-006,ESL-WR-002,5,5,5,5,5,5,2026-06-11T10:05:00,2026-06-11T10:05:14,14
2,1,FW-006,ESL-WR-002,5,5,5,4,5,5,2026-06-11T10:35:00,2026-06-11T10:35:13,13
1,1,FW-007,ESL-WR-002,4,5,4,4,4,4,2026-06-11T10:06:00,2026-06-11T10:06:19,19
2,1,FW-007,ESL-WR-002,4,4,4,4,4,4,2026-06-11T10:36:00,2026-06-11T10:36:18,18
1,1,FW-008,ESL-WR-002,4,4,3,4,3,3,2026-06-11T10:07:00,2026-06-11T10:07:21,21
2,1,FW-008,ESL-WR-002,3,4,3,4,3,3,2026-06-11T10:37:00,2026-06-11T10:37:22,22
1,1,FW-009,ESL-WR-002,1,1,1,1,2,1,2026-06-11T10:08:00,2026-06-11T10:08:24,24
2,1,FW-009,ESL-WR-002,1,1,1,2,2,1,2026-06-11T10:38:00,2026-06-11T10:38:25,25
1,1,FW-010,ESL-WR-002,1,1,1,2,2,1,2026-06-11T10:09:00,2026-06-11T10:09:26,26
2,1,FW-010,ESL-WR-002,1,1,1,1,2,1,2026-06-11T10:39:00,2026-06-11T10:39:25,25
1,1,FW-011,ESL-WR-003,5,5,5,4,5,5,2026-06-11T10:10:00,2026-06-11T10:10:15,15
2,1,FW-011,ESL-WR-003,5,5,5,4,4,5,2026-06-11T10:40:00,2026-06-11T10:40:15,15
1,1,FW-012,ESL-WR-003,4,4,4,4,4,4,2026-06-11T10:11:00,2026-06-11T10:11:18,18
2,1,FW-012,ESL-WR-003,4,4,4,4,4,4,2026-06-11T10:41:00,2026-06-11T10:41:17,17
1,1,FW-013,ESL-WR-003,5,5,5,5,5,5,2026-06-11T10:12:00,2026-06-11T10:12:14,14
2,1,FW-013,ESL-WR-003,5,5,5,5,5,5,2026-06-11T10:42:00,2026-06-11T10:42:13,13
1,1,FW-014,ESL-WR-003,1,1,1,1,1,1,2026-06-11T10:13:00,2026-06-11T10:13:28,28
2,1,FW-014,ESL-WR-003,1,1,1,1,2,1,2026-06-11T10:43:00,2026-06-11T10:43:27,27
1,1,FW-015,ESL-WR-003,4,4,3,4,3,3,2026-06-11T10:14:00,2026-06-11T10:14:20,20
2,1,FW-015,ESL-WR-003,4,4,3,4,3,3,2026-06-11T10:44:00,2026-06-11T10:44:19,19
