id,focus,reviewer_source,total_suggestions,auto_accept,teacher_review,auto_share,review_share,high_risk,kg_supported
lit_esl_001,grammar_and_literary_fact,deterministic,4,2,2,0.5,0.5,0,2
lit_esl_002,character_fact_and_argument,deterministic,2,0,2,0.0,1.0,1,1
lit_esl_003,academic_style,deterministic,2,0,2,0.0,1.0,1,0
lit_esl_004,argument_risk,deterministic,1,0,1,0.0,1.0,1,0
lit_esl_005,grammar,deterministic,1,1,0,1.0,0.0,0,0
lit_esl_006,literary_fact,deterministic,2,0,2,0.0,1.0,0,2
lit_esl_007,genre_fact,deterministic,2,0,2,0.0,1.0,0,2
lit_esl_008,character_fact,deterministic,1,0,1,0.0,1.0,0,1
lit_esl_009,literary_fact_argument,deterministic,2,0,2,0.0,1.0,1,1
lit_esl_010,literary_fact_argument,deterministic,2,0,2,0.0,1.0,1,1
lit_esl_011,grammar_argument,deterministic,3,1,2,0.333,0.667,2,0
lit_esl_012,publication_year_genre,deterministic,1,0,1,0.0,1.0,0,1
lit_esl_013,grammar_literary_fact,deterministic,2,1,1,0.5,0.5,0,1
lit_esl_014,grammar_argument,deterministic,2,1,1,0.5,0.5,1,0
lit_esl_015,argument_risk,deterministic,2,0,2,0.0,1.0,2,0
lit_esl_016,literary_fact_argument,deterministic,2,0,2,0.0,1.0,1,1
lit_esl_017,argument_risk,deterministic,1,0,1,0.0,1.0,1,0
lit_esl_018,grammar_genre_fact,deterministic,2,1,1,0.5,0.5,0,1
lit_esl_019,literary_fact_character,deterministic,1,0,1,0.0,1.0,0,1
lit_esl_020,genre_argument,deterministic,2,0,2,0.0,1.0,1,1
lit_esl_021,grammar_literary_fact_argument,deterministic,2,1,1,0.5,0.5,0,1
lit_esl_022,genre_argument,deterministic,3,0,3,0.0,1.0,2,1
lit_esl_023,literary_fact_argument,deterministic,2,0,2,0.0,1.0,0,2
lit_esl_024,grammar_literary_fact,deterministic,3,1,2,0.333,0.667,1,1
lit_esl_025,grammar_style,deterministic,2,2,0,1.0,0.0,0,0
lit_esl_026,grammar_argument,deterministic,2,1,1,0.5,0.5,0,0
lit_esl_027,genre_character_fact,deterministic,2,0,2,0.0,1.0,1,1
lit_esl_028,character_fact_argument,deterministic,2,0,2,0.0,1.0,1,1
lit_esl_029,grammar_argument,deterministic,2,1,1,0.5,0.5,1,0
lit_esl_030,grammar_style,deterministic,2,1,1,0.5,0.5,1,0
