id,expert_id,batch_id,feedback_item_id,essay_id,correctness_score,meaning_preservation_score,student_readiness_score,usefulness_score,clarity_score,direct_release_score,created_at,updated_at,duration_seconds
93,1,1,FB-012,ESL-ANN-003,4,4,5,4,4,4,2026-06-11T12:57:11,2026-06-11T12:57:11,57.14148688316345
90,1,1,FB-011,ESL-ANN-003,1,1,1,1,1,1,2026-06-11T12:55:49,2026-06-11T12:56:14,61.96813178062439
89,1,1,FB-010,ESL-ANN-003,4,3,5,2,4,3,2026-06-11T12:54:59,2026-06-11T12:54:59,32.74205470085144
88,1,1,FB-009,ESL-ANN-003,3,1,2,2,3,3,2026-06-11T12:54:26,2026-06-11T12:54:26,57.70852875709534
87,1,1,FB-008,ESL-ANN-002,3,3,4,3,3,3,2026-06-11T12:53:28,2026-06-11T12:53:28,38.28636956214905
85,1,1,FB-007,ESL-ANN-002,1,1,1,1,1,1,2026-06-11T12:52:42,2026-06-11T12:52:50,86.83378338813782
84,1,1,FB-006,ESL-ANN-002,5,5,5,3,5,4,2026-06-11T12:51:09,2026-06-11T12:51:09,10.887871265411377
23,1,1,FB-004,ESL-ANN-001,5,5,5,3,4,4,2026-06-11T12:24:29,2026-06-11T12:47:54,55.08487010002136
14,1,1,FB-003,ESL-ANN-001,1,1,1,1,1,1,2026-06-11T12:20:53,2026-06-11T12:47:52,43.40523362159729
66,1,1,FB-002,ESL-ANN-001,5,5,5,3,5,4,2026-06-11T12:36:59,2026-06-11T12:47:50,34.354931354522705
13,1,1,FB-001,ESL-ANN-001,3,4,4,4,3,3,2026-06-11T12:15:08,2026-06-11T12:47:46,162.881334066391
49,1,1,FB-005,ESL-ANN-002,5,5,5,5,5,5,2026-06-11T12:29:31,2026-06-11T12:30:36,31.12767791748047
