feedback_item_id,essay_id,expert_count,rating_count,mean_duration_seconds,any_teacher_unsafe,any_teacher_review_needed,all_teachers_safe,mean_correctness_score,mean_meaning_preservation_score,mean_student_readiness_score,mean_usefulness_score,mean_clarity_score,mean_direct_release_score,teacher_safe_for_release,teacher_review_needed,teacher_marked_unsafe
FB-001,ESL-ANN-001,2,2,251.01926958560944,False,True,False,3.5,4.0,4.5,4.0,4.0,4.0,False,False,False
FB-002,ESL-ANN-001,2,2,24.37641477584839,False,False,True,5.0,4.5,5.0,3.5,5.0,4.5,True,False,False
FB-003,ESL-ANN-001,2,2,77.25057423114777,True,True,False,1.0,1.0,1.5,1.0,3.0,1.0,False,True,True
FB-004,ESL-ANN-001,2,2,67.5236587524414,False,False,True,5.0,5.0,5.0,4.0,4.5,4.5,True,False,False
FB-005,ESL-ANN-002,2,2,51.34811747074127,True,True,False,3.0,3.0,3.0,3.0,5.0,3.0,False,True,False
FB-006,ESL-ANN-002,2,2,33.29311430454254,False,False,True,5.0,5.0,5.0,3.5,5.0,4.5,True,False,False
FB-007,ESL-ANN-002,2,2,116.87428545951843,True,True,False,1.0,1.0,1.0,1.0,3.0,1.0,False,True,True
FB-008,ESL-ANN-002,2,2,46.61182081699371,True,True,False,2.0,2.0,2.5,2.0,4.0,2.0,False,True,True
FB-009,ESL-ANN-003,2,2,104.97967231273651,True,True,False,3.0,3.0,3.5,3.0,4.0,4.0,False,True,False
FB-010,ESL-ANN-003,2,2,73.1277447938919,True,True,False,2.5,4.0,3.0,1.5,4.5,2.0,False,True,True
FB-011,ESL-ANN-003,2,2,55.77802658081055,True,True,False,1.0,1.0,1.0,1.0,3.0,1.0,False,True,True
FB-012,ESL-ANN-003,2,2,79.19793498516083,False,False,True,4.5,4.5,5.0,4.5,4.5,4.5,True,False,False
FB-013,ESL-ANN-004,2,2,33.36255121231079,False,False,True,5.0,5.0,5.0,5.0,5.0,5.0,True,False,False
FB-014,ESL-ANN-004,2,2,56.87587106227875,True,True,False,3.0,2.0,2.5,2.5,4.0,2.0,False,True,True
FB-015,ESL-ANN-004,2,2,37.329341650009155,False,False,True,5.0,5.0,5.0,5.0,5.0,5.0,True,False,False
FB-016,ESL-ANN-004,2,2,47.280980706214905,True,True,False,1.0,1.0,1.0,1.0,3.0,1.0,False,True,True
FB-017,ESL-ANN-004,2,2,36.47890269756317,True,True,False,2.5,3.0,3.0,3.0,4.5,2.5,False,True,False
FB-018,ESL-ANN-004,2,2,55.260807514190674,True,True,False,1.0,1.0,1.0,1.0,1.0,1.0,False,True,True
FB-019,ESL-ANN-004,2,2,49.12069094181061,True,True,False,1.0,1.0,1.0,1.0,3.0,1.0,False,True,True
FB-020,ESL-ANN-004,2,2,150.34409093856812,True,True,False,3.0,3.0,3.0,3.0,5.0,3.0,False,True,False
FB-021,ESL-ANN-005,2,2,124.51398491859436,False,False,True,5.0,5.0,5.0,4.5,5.0,4.5,True,False,False
FB-022,ESL-ANN-005,2,2,80.34084510803221,False,False,True,5.0,5.0,5.0,5.0,5.0,5.0,True,False,False
FB-023,ESL-ANN-005,2,2,40.823142886161804,True,True,False,1.0,1.0,1.0,1.0,3.0,1.0,False,True,True
FB-024,ESL-ANN-005,2,2,38.000054121017456,True,True,False,1.0,1.0,1.0,1.0,3.0,1.0,False,True,True
FB-025,ESL-ANN-005,2,2,56.17405617237091,True,True,False,2.0,2.0,2.0,2.0,2.5,2.0,False,True,True
FB-026,ESL-ANN-005,2,2,31.734495520591736,False,False,True,4.5,4.5,4.5,4.5,4.5,4.5,True,False,False
FB-027,ESL-ANN-006,2,2,34.511118054389954,False,False,True,5.0,5.0,5.0,4.5,5.0,4.5,True,False,False
FB-028,ESL-ANN-006,2,2,32.42723107337952,True,True,False,1.0,1.0,1.0,1.0,3.0,1.0,False,True,True
FB-029,ESL-ANN-006,2,2,31.650051593780518,True,True,False,2.5,2.0,2.5,2.0,4.5,2.0,False,True,True
FB-030,ESL-ANN-006,2,2,36.064526200294495,True,True,False,1.0,3.0,1.0,3.0,1.0,1.0,False,True,True
