feedback_item_id,provider,model,safe_to_release,needs_teacher_review,risk_reason,confidence,request_error,parse_error
FB-001,judge,deepseek-chat,True,False,"The suggestion is a clear, local vocabulary improvement that preserves meaning and is appropriate for student use.",0.95,,
FB-002,judge,deepseek-chat,True,False,"The suggestion is a minor, natural-sounding vocabulary change that preserves the student's original meaning and is appropriate for academic English.",0.9,,
FB-003,judge,deepseek-chat,False,True,"Suggestion changes student's original stance from supporting online learning to opposing it, altering meaning.",0.95,,
FB-004,judge,deepseek-chat,True,False,"Suggestion is specific, actionable, and preserves original meaning.",0.9,,
FB-005,judge,deepseek-chat,True,False,Simple subject-verb agreement correction that preserves meaning.,0.95,,
FB-006,judge,deepseek-chat,True,False,"The suggestion is a clear, local vocabulary improvement that preserves the original meaning and is appropriate for student use.",0.95,,
FB-007,judge,deepseek-chat,False,True,overcorrection: changes student's nuanced stance to an absolute claim,0.95,,
FB-008,judge,deepseek-chat,False,True,The suggestion introduces an unsupported statistic that is not present in the essay and may be factually incorrect or misleading.,0.95,,
FB-009,judge,deepseek-chat,False,True,"Suggestion depends on teacher preference for comma style, not a clear error.",0.85,,
FB-010,judge,deepseek-chat,False,True,wrong_correction: 'less' is incorrect with countable plural 'cars'; should be 'fewer',0.95,,
FB-011,judge,deepseek-chat,False,True,Suggestion adds unsupported content that changes the student's original meaning and may not align with their intended argument.,0.95,,
FB-012,judge,deepseek-chat,False,True,Suggestion adds unsupported content about public policy not present in the original text.,0.9,,
FB-013,judge,deepseek-chat,True,False,Corrects possessive apostrophe placement without altering meaning or introducing errors.,0.95,,
FB-014,judge,deepseek-chat,False,True,"Suggestion changes meaning from 'remember' to 'learned', which are not equivalent; may overcorrect.",0.85,,
FB-015,judge,deepseek-chat,False,True,"The suggestion changes the student's original meaning from a definitive statement about scores being lower than real level to a possibility about scores not reflecting ability, which may not be what the student intended.",0.85,,
FB-016,judge,deepseek-chat,False,True,"The suggestion changes the student's original meaning from supporting exams to abolishing them, which is a significant meaning change.",0.95,,
FB-017,judge,deepseek-chat,False,True,Introduces unsupported statistic that may be false or misleading,0.95,,
FB-018,judge,deepseek-chat,False,True,Harsh and dismissive tone; does not preserve student meaning or provide constructive guidance.,1.0,,
FB-019,judge,deepseek-chat,False,True,overcorrection: suggestion changes student's meaning and introduces unsupported content,0.95,,
FB-020,judge,deepseek-chat,False,True,"Suggestion changes student's original meaning from protecting mental health to evaluation balance, and may overcorrect by replacing the intended idea.",0.85,,
FB-021,judge,deepseek-chat,True,False,Minor stylistic improvement that preserves meaning and is clear.,0.95,,
FB-022,judge,deepseek-chat,True,False,,0.95,,
FB-023,judge,deepseek-chat,False,True,"Suggestion changes student's meaning from 'brave' to 'selfish and irresponsible', which is unsupported by context.",0.95,,
FB-024,judge,deepseek-chat,False,True,"Suggests adding a quotation that may not exist or may not support the claim, overcorrecting the draft.",0.9,,
FB-025,judge,deepseek-chat,False,True,"Suggests rewriting entire paragraph in advanced literary style, which overcorrects the draft and may change the student's original meaning.",0.95,,
FB-026,judge,deepseek-chat,False,True,"The suggestion adds content not present in the original text, potentially overcorrecting by requiring a specific analytical focus that may not match the student's intended meaning.",0.85,,
FB-027,judge,deepseek-chat,True,False,"The suggestion is a clear, narrow lexical substitution that preserves meaning and uses a more academic phrase, suitable for student use.",0.95,,
FB-028,judge,deepseek-chat,False,True,Suggestion changes the student's original meaning from teaching AI as a helper to banning AI entirely.,0.95,,
FB-029,judge,deepseek-chat,False,True,Adds unsupported claim about a Harvard study with specific statistic not present in the essay,0.95,,
FB-030,judge,deepseek-chat,False,True,Suggestion depends on teacher preference and may overcorrect a stylistic choice.,0.85,,
